"","Operator","Type","NumberOfCrashes"
"1204","Capital Airlines","Lockheed C-69 Constellation",1
"1205","Capital Airlines","McDonnell Douglas DC-8-63CF",1
"1206","Capital Airlines","Vickers Viscount 745D",3
"1207","Capital Airlines / Military - Air National Guard","Vickers Viscount 745D / T-33A",1
"1208","Capital Airlines Inc.","Piper PA-31-350 Navajo Chieftain",1
"1209","Capital Taxi Aereo","Embraer 120RT Brasilia",1
"1210","Capitol Air Service - Air Taxi","Cessna 310L",1
"1211","Capitol Air Service - Air Taxi","Piper PA-34",1
"1212","Capitol Airways","Curtiss C-46F",2
"1213","Care Flight International","Learjet 25C",1
"1214","Carga Aereo Transportada","Convair CV-440",1
"1215","Carga del Caribe","Douglas DC-6BF",1
"1216","Cargo Three Panama","Convair CV-440",1
"1217","Cargolux","Canadair CL-44J",1
"1218","Carib Air Transport","Lockheed L-382B Hercules",1
"1219","Caribbean Air Carrier - Air Taxi","Piper PA-23-250",1
"1220","Caribbean Airlines","Lockheed 18 Lodestar",1
"1221","Caribbean International Airways","Lockheed 18-56 LodeStar",1
"1222","Carvair ATL-98","Channel Air Bridge",1
"1223","Cascade Airways","Beechcraft 99",1
"1224","Cascade Airways","Beechcraft 99A",1
"1225","Casino Air - Air Taxi","Beechcraft U206C",1
"1226","Castle Aviation","Cessna 208B Caravan I Super Cargomaster",1
"1227","CATA","Britten-Norman BN-2A-6 Islander",1
"1228","CATA Linea Aerea","Fairchild Hiller FH-227B",1
"1229","Catalina - Vega - Air Taxi","de Havilland DH-104",1
"1230","Catalina Airlines","Grumman G-21 Goose",1
"1231","Cathay PacifiAirways","Consolidated OA-10 Catalina",1
"1232","Cathay PacifiAirways","Convair CV-880-22M-21",1
"1233","Cathay PacifiAirways","Convair CV-880-22M-3",1
"1234","Cathay PacifiAirways","Douglas DC-3",1
"1235","Cathay PacifiAirways","Douglas DC-4",1
"1236","CC Air","BAe 3101 Jetstream 31",1
"1237","CCCP","Junkers F-13",1
"1238","Cebu PacifiAir","McDonnell Douglas DC-9-32",1
"1239","Central  Airlines","Travel Air A6000A",1
"1240","Central African Airways","Douglas DC-3",1
"1241","Central African Airways","Vickers 616 Viking 1B",1
"1242","Central African Airways","Vickers Viscount 748D",1
"1243","Central Air Services","Douglas DC-7B",1
"1244","Central Air Transport","Curtiss C-46",2
"1245","Central Airlines","Learjet 25",1
"1246","Central Mountain Air Services","Britten-Norman BN-2A-21 Islander",1
"1247","Central Mountain Air Services","de Havilland Canada DHC-3 Otter",1
"1248","Central Mountain Air Services","Douglas C-47A",1
"1249","Central Mountain Air Services","Douglas C-47B-15-DK",1
"1250","Centurian Air Cargo","Boeing B-747-209BSF",1
"1251","Century Air Lines","Stinson SM-6000B",1
"1252","Century PacifiLines","Stinson SM-6000B",1
"1253","Ceskoslovenské Aerolinie","Avia 14T",1
"1254","Ceskoslovenské Aerolinie","Douglas C-47A",1
"1255","Ceskoslovenske Aerolinie","Avia 14",2
"1256","Ceskoslovenske Aerolinie","Avia 14-40",1
"1257","Ceskoslovenske Aerolinie","Douglas C-47A-15-DK",1
"1258","Ceskoslovenske Aerolinie","Douglas DC-3",2
"1259","Ceskoslovenske Aerolinie","Douglas DC-3 (C-47A-DK)",1
"1260","Ceskoslovenske Aerolinie","Ford 5-AT-C Tri Motor",1
"1261","Ceskoslovenske Aerolinie","Ilyushin IL-12B",1
"1262","Ceskoslovenske Aerolinie","Ilyushin IL-18",2
"1263","Ceskoslovenske Aerolinie","Ilyushin IL-18B",1
"1264","Ceskoslovenske Aerolinie","Ilyushin IL-18L",1
"1265","Ceskoslovenske Aerolinie","Ilyushin IL-62",1
"1266","Ceskoslovenske Aerolinie","Junkers JU-52/3m",1
"1267","Ceskoslovenske Aerolinie","Tupolev TU-104A",1
"1268","Cessnyca","Douglas DC-3A",1
"1269","Chaillotine Air Service","Mitsubishi MU-2L Marquise",1
"1270","Chalk's International Airlines","Grumman G-73T Turbo Mallard",1
"1271","Chalk's Ocean Airways","Grumman G73T Turbo Mallard",1
"1272","Chamberlin Flying Service","Curtiss AT-32C Condor",1
"1273","Channel Air Lift","Curtiss C-46F",1
"1274","Channel Express","Fokker F-27 Friendship 600",1
"1275","Channel Flying Service - Air Taxi","Cessna 180H",1
"1276","Channel Flying Service - Air Taxi","de Havilland DHC-2",1
"1277","Chartair - Air Taxi","Beech B60",1
"1278","Chartair - Air Taxi","Beechcraft 58",1
"1279","Charter","Sud-Aviation SE210 Caravelle",1
"1280","Charter - Aerotaxi","Antonov AN-2",1
"1281","Charter - Air Adventures New Zealand Ltd","Piper PA-31-350 Navajo Chieftain",1
"1282","Charter - Air Cush","Let 410UVP",1
"1283","Charter - Central Air","Beechcraft SKA 200",1
"1284","Charter - Flightline Charter Services","Piper PA-31-350",1
"1285","Charter - IRS Aero","Ilyushin 18V",1
"1286","Charter - Maniema Union (owner Victoria Air)","Antonov AN-12BP",1
"1287","Charter - Private","Cessna 208B Grand Caravan",1
"1288","Charter - Twin Air HB","Piper PA-31-350",1
"1289","Charter -Federal Electricity Commission","Convair CV-240-2",1
"1290","Charter, Golden Eagle Aviation Inc.","Martin 404",1
"1291","Chelan Air Service","de Havilland Canada DHC-2 Mark I Beaver",1
"1292","Cheremshanka Airlines","Yakovlev YAK-40",1
"1293","Chester Airport","Cessna 205A",1
"1294","Chicago-Detroit Airways","Lockheed Vega",1
"1295","Chicago and Southern Airlines","Stinson SM6000B Tri-motor",1
"1296","Chicago Helicopter Airways","Sikorsky S-58C helicopter",1
"1297","Chicago Southern Airlines","Beech E18S",1
"1298","Chicago Southern Airlines","Lockheed 10B Electra",1
"1299","China Air Lines","Douglas DC-3",1
"1300","China Airlines (Taiwan)","Airbus A300-622R",1
"1301","China Airlines (Taiwan)","Airbus A300B4-622R",1
"1302","China Airlines (Taiwan)","Boeing 707-324C",1
"1303","China Airlines (Taiwan)","Boeing B-707-309C",1
"1304","China Airlines (Taiwan)","Boeing B-737-209",1
"1305","China Airlines (Taiwan)","Boeing B-737-281",1
"1306","China Airlines (Taiwan)","Boeing B-747-209B",1
"1307","China Airlines (Taiwan)","Boeing B-747-2R7F",1
"1308","China Airlines (Taiwan)","Boeing B-747-SP-09",1
"1309","China Airlines (Taiwan)","Douglas DC-3",1
"1310","China Airlines (Taiwan)","Douglas DC-3D",1
"1311","China Airlines (Taiwan)","McDonnell Douglas MD-11",1
"1312","China Airlines (Taiwan)","NAMC YS-11A-219",1
"1313","China Airlines (Taiwan)","Sud Aviation SE-210 Caravelle III",1
"1314","China Eastern Airlines","Antonov AN-24RV",1
"1315","China Eastern Airlines","Bambardier CRJ200",1
"1316","China Eastern Airlines","McDonnell Douglas MD-11",1
"1317","China Eastern Airlines","McDonnell Douglas MD-82",1
"1318","China Flying Dragon Aviation (Feilong Airlines)","Harbin Yunshuji Y-12-II",1
"1319","China General Aviation Corporation","Yakovlev YAK-42D",1
"1320","China National Aviation Corporation","",2
"1321","China National Aviation Corporation","Curtiss C-46",2
"1322","China National Aviation Corporation","Curtiss C-46, C-47, DC-3",1
"1323","China National Aviation Corporation","Douglas C-47",15
"1324","China National Aviation Corporation","Douglas C-53",4
"1325","China National Aviation Corporation","Douglas C-54B-5-DO",1
"1326","China National Aviation Corporation","Douglas DC-2",4
"1327","China National Aviation Corporation","Douglas DC-2-221",1
"1328","China National Aviation Corporation","Douglas DC-3",4
"1329","China National Aviation Corporation","Douglas DC-4",1
"1330","China National Aviation Corporation","Ford 5-AT-D Tri-Motor",1
"1331","China National Aviation Corporation","Ford 5-AT Tri-Motor",1
"1332","China National Aviation Corporation","Loening C-W Air Yaht",1
"1333","China National Aviation Corporation","Sikorsky S-38B",2
"1334","China National Aviation Corporation","Sikorsky S-38BB",1
"1335","China National Aviation Corporation","Sikorsky S-43",1
"1336","China National Aviation Corporation","Sinson",1
"1337","China National Aviation Corporation","Stinson",1
"1338","China Northern Airlines","McDonnell Douglas MD-82",2
"1339","China Northwest Airlines","British Aerospace 146-300",1
"1340","China Northwest Airlines","Tupolev TU-154M",1
"1341","China Southern Airlines","Boeing B-737-31B",1
"1342","China Southern Airlines","Boeing B-737-3Y0",1
"1343","China Southwest Airlines","Ilyushin IL-18D",1
"1344","China Southwest Airlines","Tupolev TU-154",1
"1345","China Southwest Airlines / Xiamen Airlines","Boeing B-737-247 / Boeing B-757-21B",1
"1346","Chugiak Aviation - Air Taxi","Cessna 207",1
"1347","Churchill Falls Co.","de Havilland DH-125-400A",1
"1348","Cia Brasiliera de Tratores","Gates Learjet 25B",1
"1349","CIDNA","",1
"1350","CIDNA","Blériot Spad 66",1
"1351","CIDNA","Bleriot Spad 56",1
"1352","CIDNA","Farman F-121 Jabiru",1
"1353","CIDNA","Fokker F-VII",1
"1354","CIDNA","Potez IX",1
"1355","Cie Air Transport","Bristol 170 Freighter 21",1
"1356","Cie des Messageries Aeriennes","Bleriot Spad 27",1
"1357","Circuit City Stores - Charter","Cessna 560 Citation V",1
"1358","City-Jet","Cessna Citation 500",1
"1359","Civil Air Transport","Boeing B-727-92C",1
"1360","Civil Air Transport","Curtiss C-46-CU",1
"1361","Civil Air Transport","Curtiss C-46D-20-CU",1
"1362","Civil Air Transport","Curtiss C-46D-CU",2
"1363","Clarkes Thunder - Air Taxi","Beechcraft S35",1
"1364","ClassiWings","Douglas DC-3A",1
"1365","Coastal Air Lines","Douglas DC-3",1
"1366","Coastal Cargo","Douglas C-47A",1
"1367","COHATA","Douglas DC-3",1
"1368","College of the Ozarks","Cessna 525 Citation",1
"1369","Colonial Air Transport","Fairchild FC-2",2
"1370","Colonial Air Transport","Fokker Universal",1
"1371","Colonial Air Transport","Ford Tri-Motor 5",1
"1372","Colonial Air Transport","Pitcairn PA-6 Mailwing",2
"1373","Colonial Western Airlines","Fairchild FC-2",1
"1374","Colonial Western Airlines","Ford 5-AT-B Tri Motor",1
"1375","Columbia Air Cargo","Douglas DC-3",1
"1376","Columbia PacifiAirlines","Beechcraft 99",1
"1377","Comair","Canadair CRJ-200ER",1
"1378","Comair","Embraer 120RT Brasilia",1
"1379","Comair","Piper PA-31",1
"1380","Commercial Air Taxi","Beechcraft C35",1
"1381","Commercial Air Taxi","Bell 74G",1
"1382","Commercial Air Taxi","Cessna 206",1
"1383","Commercial Air Taxi","Hughes 269B",1
"1384","Commercial Air Taxi","Lockheed 12A",1
"1385","Commercial Air Taxi","Piper Aero Commander 560E",1
"1386","Commercial Air Taxi","Piper PA-18",1
"1387","Commercial Air Taxi","Piper PA-23",2
"1388","Commercial Air Taxi","Piper PA-24",1
"1389","Commercial Air Taxi","Piper PA-28",1
"1390","Commercial Airways","Douglas DC-3",1
"1391","Commercial Airways (Comair)","Embraer 110P1 Bandeirante",1
"1392","Commutair","Beechcraft 1900C",1
"1393","Commuter Airline - Air Taxi","Beechcraft C-45H",1
"1394","Compagnie Air Transport","AT L98 Carvair",1
"1395","Compagnie Internationale de Navigation Aérienne","Caudron C-61",1
"1396","Compagnie Sila","Douglas C-47B",1
"1397","Compania de Aviacion Faucett SA (Peru)","Boeing B-737-222",1
"1398","Compania de Mexico","Ford 5-AT-B Tri Motor",1
"1399","Compania Dominicana de Aviacion","McDonnell Douglas DC-9-32",1
"1400","Compania Mexicana de Aviacion","Boeing B-727-64",1
"1401","ComvaAviation","Cessna 208B Grand Caravan",1
"1402","Condor Flugdienst","Boeing B-737-230A",1
"1403","Conesul Taxi Aéreo","Gates Learjet 25",1
"1404","Congo Airline","Boeing B-727-30",1
"1405","Connair","de Havilland DH114 Heron 2E",1
"1406","Connie Kalitta Services","Learjet 24A",1
"1407","Conquest Airways - Air Taxi","Beechcraft E18S",1
"1408","Continental Air Lines","Stearman C-38",1
"1409","Continental Air Lines","Travel Air 4000",2
"1410","Continental Air Services","Douglas C-47A",1
"1411","Continental Air Transport","Douglas DC-4",1
"1412","Continental Airlines","Boeing B-707-124",2
"1413","Continental Airlines","Boeing B-727-224",1
"1414","Continental Airlines","Douglas DC-3 / Cessna 170B",1
"1415","Continental Airlines","McDonnell Douglas DC-10-10",1
"1416","Continental Airlines","McDonnell Douglas DC-9-14",1
"1417","Continental Airlines","McDonnell Douglas MD-82",1
"1418","Continental Airlines","Vickers Viscount 812",1
"1419","Continental Charters","Curtiss C-46A-50-CU",1
"1420","Continental Connection/Colgan Air","Bombardier DHC-8-402 Q400",1
"1421","Continental Express","Embraer 120RT Brasilia",1
"1422","Continentale Deutsche Luftreederei","Douglas C-54B-1-DC",1
"1423","Conviasa","Boeing B-737-291",1
"1424","Cooper Skybird Air Charters","Cessna 404 Titan",1
"1425","COPA (Panama)","Boeing B-737-204",1
"1426","Copterline","Sikorsky S-76C",1
"1427","CORAL Colombia","Curtiss C-46A",1
"1428","CORAL Colombia","Curtiss C-46A-60-CS",1
"1429","Cordova Airlines","Aero Commander  520",1
"1430","Cordova Airlines","Aero Commander 680",1
"1431","Corp. Aeronautica de Transportes","Lockheed Vega 5",1
"1432","Corporacion Boliviano de Fomento","Curtiss C-46D",1
"1433","Corporate Air","Cessna 208B Caravan I Super Cargomaster",1
"1434","Corporate Air - Air Taxi","Aerostar 601P",1
"1435","Corporate Airlines (American Connection)","Bae Jetstream 3201",1
"1436","Corporate Mobility Inc. - Private","Bell 206B helicopter",1
"1437","Costal Airway","Beech E18S",1
"1438","Cougar Helicopters","Sikorsky S-92A",1
"1439","Coval Air","Beechcraft 18",1
"1440","Crasa - Air Taxi","Learjet 25C",1
"1441","Crest Airlines - Air Taxi","Aero Commander 560",1
"1442","Cross Airways","Lockheed Vega 5",1
"1443","Crossair","BAE Avro RJ100",1
"1444","Crossair","Saab 340B",1
"1445","Cruzeiro","Convair CV-240-0",2
"1446","Cruzeiro","Convair CV-340-59",1
"1447","Cruzeiro","Convair CV-440-59",1
"1448","Cruzeiro","Douglas C-47A-25",1
"1449","Cruzeiro","Douglas DC-3",7
"1450","Cruzeiro","Fairchild C-82A",1
"1451","Cruzeiro","Sud Aviation SE-210 Caravelle VIN",1
"1452","Cruzeiro Do Sud","Douglas DC-3",1
"1453","Cruzeiro do Sul","Junkers JU-52/3m",1
"1454","Cruzeiro do Sul","PBY-5A Catalina",1
"1455","CSA Czech Airlines","Savoia-Marchetti SM73",1
"1456","CTA LanguedoRoussillon","AAC-1 Toucan",1
"1457","Cubana de Aviacion","Antonov AN-12",1
"1458","Cubana de Aviacion","Antonov AN-24",1
"1459","Cubana de Aviacion","Antonov An-24B",1
"1460","Cubana de Aviacion","Antonov AN-26",1
"1461","Cubana de Aviacion","Douglas DC-4",1
"1462","Cubana de Aviacion","Ford 4-AT-E Tri-motor",1
"1463","Cubana de Aviacion","Ilyushin IL-14",2
"1464","Cubana de Aviacion","Ilyushin IL-18D",1
"1465","Cubana de Aviacion","Ilyushin IL-62M",1
"1466","Cubana de Aviacion","McDonnell Douglas DC-8-43",1
"1467","Cubana de Aviacion","Tupolev TU-154M",1
"1468","Cubana de Aviacion","Vickers Viscount 755D",1
"1469","Cubana de Aviacion","Yakovlev YAK-40",1
"1470","Cubana de Aviacion","Yakovlev YAK-42D",1
"1471","Cubana de Aviacion / Military -  US Navy","Douglas DC-4 /Beechcraft SMB-1",1
"1472","Cubana de Aviacon","McDonnell Douglas DC-10-30",1
"1473","Cubana de Aviacon","Yakovlev YAK-40",1
"1474","Cunard Eagle Airways","Vickers Viking 3B",1
"1475","Currey Air Transport","Douglas DC-3",1
"1476","Curtiss-Reid Flying Services Ltd. (Canada)","Douglas C-54B-1-DC",1
"1477","Custom Air Service","Aviation Traders ATL-98 Carvair",1
"1478","Dai Nippon","Douglas DF-151",1
"1479","Daimler Airways","de Havilland DH-34",1
"1480","Daimler Airways / Grands Express Aeriens","de Havilland DH-18 / Farman F-60 Goliath",1
"1481","Dalmia Jain Airways","Douglas DC-3",1
"1482","Dan-Air Services","Avro 685 York C-1",1
"1483","Dan Air Services","Boeing B-727-64",1
"1484","Dan Air Services","de Havilland Comet 4",1
"1485","Dan Air Services","Hawker Siddeley HS-748",1
"1486","Dan Air Services","Hawker Siddeley HS-748-1",1
"1487","Darbhanga Aviation","Douglas C-47A-30-DK",1
"1488","de Havilland Aircraft","de Havilland Canada DHC-6 Twin Otter 300",1
"1489","Deccan Airways","Douglas C-47A",1
"1490","Deccan Airways","Douglas DC-3",3
"1491","Del Rio Flying Service - Air Taxi","Cessna 310J",1
"1492","Delaware Aviation - Air Taxi","Piper PA-28R",1
"1493","Delta Air Lines","Boeing B-727-232 Adv",1
"1494","Delta Air Lines","Convair CV-880",1
"1495","Delta Air Lines","Douglas DC-3",1
"1496","Delta Air Lines","Douglas DC-3 (C-47DL) /Vultee BT-13",1
"1497","Delta Air Lines","Douglas DC-4",1
"1498","Delta Air Lines","Lockheed L-1011-1 TriStar",1
"1499","Delta Air Lines","McDonnell Douglas DC-8-51",1
"1500","Delta Air Lines","McDonnell Douglas DC-9-14",1
"1501","Delta Air Lines","McDonnell Douglas DC-9-31",1
"1502","Delta Air Lines","McDonnell Douglas MD-88",1
"1503","Delta Air Lines","MDonnell Dougals DC-9",1
"1504","Delta Air Lines","Stinson Model A",1
"1505","Delta Air Lines/ North Central Airlines","Convair CV-880 / McDonnell DC-9-31",1
"1506","Deming Flying Service - Air Taxi","Cessna 172M",1
"1507","Den Norske Luftfartskole","Junkers JU-52/3m",1
"1508","Denver Air Center","Cessna 441 Conquest",1
"1509","Deraps Aviation","de Havilland Canada DHC-3 Otter",1
"1510","Deraya Air Taxi","Cessna 402A",1
"1511","Derby Aviation","Douglas DC-3",1
"1512","Deruluft","Antonov AN-9",1
"1513","Deruluft","Junkers JU-52/3m",1
"1514","Deruluft","Rochrbach Roland",1
"1515","Det Danske Luftfartselskab","Douglas DC-3",1
"1516","Deutche Lufthansa","Junkers F-13",1
"1517","Deutsche Flugdienst","Convair CV-240-4",1
"1518","Deutsche Lufthansa","AEGK",1
"1519","Deutsche Lufthansa","Arado V1",1
"1520","Deutsche Lufthansa","BFW M-18",1
"1521","Deutsche Lufthansa","Dormier Do-J-Iif Bos Wal",1
"1522","Deutsche Lufthansa","Dornier DO.18",1
"1523","Deutsche Lufthansa","Dornier Merkur",3
"1524","Deutsche Lufthansa","Dornier Wal",1
"1525","Deutsche Lufthansa","Douglas DC-2-115H",1
"1526","Deutsche Lufthansa","Douglas DC-3",2
"1527","Deutsche Lufthansa","Focke-Wulf A-17",1
"1528","Deutsche Lufthansa","Focke-Wulf FW 200",3
"1529","Deutsche Lufthansa","Fokker FG II",1
"1530","Deutsche Lufthansa","Fokker FG III",3
"1531","Deutsche Lufthansa","Heinkel 116",1
"1532","Deutsche Lufthansa","Heinkel He-111",1
"1533","Deutsche Lufthansa","Heinkel He-111V2",1
"1534","Deutsche Lufthansa","Heinkel HE-2",1
"1535","Deutsche Lufthansa","Heinkel He-70",2
"1536","Deutsche Lufthansa","Junkers F-13",7
"1537","Deutsche Lufthansa","Junkers G-24",1
"1538","Deutsche Lufthansa","Junkers G-31",1
"1539","Deutsche Lufthansa","Junkers JU-160",1
"1540","Deutsche Lufthansa","Junkers JU-52",3
"1541","Deutsche Lufthansa","Junkers JU-52/3m",16
"1542","Deutsche Lufthansa","Junkers JU-53/3m",1
"1543","Deutsche Lufthansa","Junkers JU-86",1
"1544","Deutsche Lufthansa","Junkers JU-90",1
"1545","Deutsche Lufthansa","Junkers JU.52",1
"1546","Deutsche Lufthansa","Junkers JU52/3m",1
"1547","Deutsche Lufthansa","Junkers JU90V2",1
"1548","Deutsche Lufthansa","Junkers W-33",1
"1549","Deutsche Lufthansa","Messerschmitt M-20",1
"1550","Deutsche Lufthansa","Messerschmitt M-20B",1
"1551","Deutsche Lufthansa","Siebel Si-204",1
"1552","Deutsche Zeppelin Reederei","Zeppelin LZ-129",1
"1553","Devener Flying Service - Taxi","Beechcraft B95A",1
"1554","Devlet Hava Yollairi","Douglas DC-3",1
"1555","Devlet Hava Yollari","Douglas DC-3",4
"1556","DHL","Learjet 23A",1
"1557","DHL Aviation Africa","Cessna 208 Caravan I",1
"1558","Dirgantara Air Service","CASA NC-212-200",1
"1559","Dirgantara Air Services","Britten-Norman BN-2A-21",2
"1560","Dirgantara Air Services","Britten-Norman BN-2A Islander",1
"1561","Dirgantara Air Services","Britten Norman BN-2A-21 Trislander",1
"1562","Dirgantara Air Services","CASA 212 Aviocar 100",1
"1563","DJB Air Charter","Piper PA-31-310",1
"1564","Djibouti Airlines","Antonov AN-26V",1
"1565","Djibouti Airlines","Let 410UVP-E",1
"1566","DLL","Junkers JU-52/3m",1
"1567","DNL","Junkers JU-52/3m",1
"1568","Dodita Air Cargo","Convair CV-440",1
"1569","Dominicana","Douglas DC-3",1
"1570","Dominion Air Lines","Desoutter II",1
"1571","Don Everall Aviation","Vickers 634 Viking 1B",1
"1572","Don Zimmerman - Air Taxi","Beechcraft 65-80",1
"1573","Douglas Aircraft","Douglas DC-7B / U.S. Air Force F-89J",1
"1574","Douglas Aircraft Company","Douglas DC-3",1
"1575","Douglas Airways","Britten-Norman 2B-21 Islander",1
"1576","Douglas Airways","Britten-Norman BN-2A Islander",1
"1577","Douglas Airways","GAF Nomad 22B",1
"1578","Downeast Airlines","de Havilland DHC-6-200",1
"1579","Downeast Airlines","Piper PA-31",1
"1580","DTA Angola Airlines","Douglas DC-3",1
"1581","DTA Angola Airlines","Fokker F-27 Friendship 200",1
"1582","Duncan Aircraft Sales","Hawker-Siddeley DH-125-1A/522",1
"1583","Dunlap Aviation - Air Taxi","Cessna 310",1
"1584","Dutch Continental Airways","Britten-Norman BN-2A Islander",1
"1585","Dutch Dakota Association","Douglas DC-3C",1
"1586","Dwyer Flying Service - Private Charter","Beechcraft Bonanza 35",1
"1587","E.A.S. Aeroservizi","Learjet 35A",1
"1588","Eagle Air","Britten-Norman BN-2A-8 Islander",1
"1589","Eagle Air","Cessna 560 Citation V",1
"1590","Eagle Air","Let 410A",1
"1591","Eagle Airways","Britten-Norman BN-2A Trislander",1
"1592","Eagle Aviation","Let 410UVP-E20",1
"1593","Eagle Aviation","Piper PA-31-350 Navajo",1
"1594","Eagle Aviation","Vickers Viking 1B",1
"1595","Eagle Cap Leasing","Pilatus PC-12/45",1
"1596","Eagle Commuter","Piper PA-28-180",1
"1597","Eagle Flight - Air Taxi","Cessna T337B",1
"1598","EAS Airlines (Executive Airline Services)","BAC One-Eleven 525FT",1
"1599","East African Air Charters","Cessna 206",1
"1600","East African Airways","BAC Super VC-10 1154",1
"1601","East African Airways","Douglas DC-3",1
"1602","East Anglian Flying Services","Douglas C-47A",1
"1603","East Coast Air - Air Taxi","Piper PA-32",1
"1604","East Coast Jets","British Aerospace BAe-125-800A",1
"1605","East Indonesia Air Taxi","Shorts SC-7 Skyvan 3-200",1
"1606","East Provincial Airways","Consolidated Catalina",1
"1607","Eastern Air Lines","Boeing B-727-225",1
"1608","Eastern Air Lines","Boeing B-727-225 Adv",1
"1609","Eastern Air Lines","Douglas C-54B-15-DO",1
"1610","Eastern Air Lines","Douglas DC-2",1
"1611","Eastern Air Lines","Douglas DC-2-112",1
"1612","Eastern Air Lines","Douglas DC-3",4
"1613","Eastern Air Lines","Douglas DC-3-201E",1
"1614","Eastern Air Lines","Douglas DC-3-201F",1
"1615","Eastern Air Lines","Douglas DC-7",1
"1616","Eastern Air Lines","Douglas DC-7B",3
"1617","Eastern Air Lines","Douglas DC-9-31 /Cessna 206",1
"1618","Eastern Air Lines","Lockheed 188A Electra",1
"1619","Eastern Air Lines","Lockheed 749A Constellation",1
"1620","Eastern Air Lines","Lockheed 749C-79-12 Constellation",1
"1621","Eastern Air Lines","Lockheed L-1011",1
"1622","Eastern Air Lines","Lockheed L-1011 TriStar1",1
"1623","Eastern Air Lines","Lockheed L-649 Constellation",1
"1624","Eastern Air Lines","McDonnell Douglas DC-8-21",1
"1625","Eastern Air Lines","McDonnell Douglas DC-9-31",2
"1626","Eastern Air Lines / Military - Bolivian Air Force","Douglas C-54B / P-38",1
"1627","Eastern Air Lines / Military - U.S. Army Air Corps","Douglas DC-3-201C /  Army A-26",1
"1628","Eastern Air Lines / Military - USN","Douglas DC-3 -201D/ F-6-F- 5 Hellcat",1
"1629","Eastern Air Transport","Curtiss Condor 18",1
"1630","Eastern Air Transport","Pitcairns PA-6",1
"1631","Eastern Provincial Airways","de Havilland Canada DHC-3 Otter",1
"1632","Eastern Provincial Airways","Handley Page HPR-7 Herald 211",1
"1633","Ecuatair","Antonov AN-24B",1
"1634","Ecuato Guineana de Aviacion","Antonov 28",1
"1635","Edde Airlines","Douglas C-53-DO (DC-3A)",1
"1636","EDELCA","Bell 214 ST",1
"1637","Edinburgh Air Charter","Cessna 404 Titan Ambassador",1
"1638","EgyptAir","Airbus A.300B4-203",1
"1639","EgyptAir","Boeing 707-336C",1
"1640","EgyptAir","Boeing B-707-366C",1
"1641","EgyptAir","Boeing B-737-266",1
"1642","EgyptAir","Boeing B-737-566",1
"1643","EgyptAir","Boeing B-767-366ER",1
"1644","EgyptAir","Fokker F-27 Friendship 500",1
"1645","EgyptAir","McDonnell Douglas DC-9-32",1
"1646","EgyptAir","Tupolev Tu-154",1
"1647","Eitos","Aerospatiale 330J Puma",1
"1648","Ejercito del Aire","Junkers JU-52/3m",1
"1649","El Al","Boeing B-747",1
"1650","El Al","Boeing B-747-258F",1
"1651","El Al","Douglas DC-4",1
"1652","El Al","Lockheed 049 Constellation",1
"1653","El Magal Aviation","Antonov AN-12",1
"1654","Elbee Airlines","Fokker F-27 Friendship 200",1
"1655","ELK Aviation Co. (leased from Eminex)","Antonov AN-28",1
"1656","Embry Riddle Company","Pitcairn PA-6 Mailwing",1
"1657","Emery Worldwide","Douglas C-47A",1
"1658","Emery Worldwide","McDonnell Douglas DC-8-71F",1
"1659","Emirates Air Transport","Douglas DC-7CF",1
"1660","Empire Airlines","Cessna 208B Caravan I Super Cargomaster",2
"1661","Empresa Aviacion del Pacifico","Douglas DC-3",1
"1662","Empresa Nacional de Transp.  Trabalho Aereo","Britten-Norman BN-2 Islander",1
"1663","Empressa Commun. Aéreas de Veracruz","Douglas DC-3",1
"1664","Enimex","Antonov AN-28",1
"1665","ERA Aviation - Air Taxi","Bell 206L",1
"1666","ERA Helicopter","Bell 205A",1
"1667","Era Helicopter - Air Taxi","Bell 205-1",1
"1668","ETA - Empresa Transportes Aéreos","Curtiss C-46A-55",1
"1669","Ethiopian Airlines","Boeing 707-360C",1
"1670","Ethiopian Airlines","Boeing B-737-230",1
"1671","Ethiopian Airlines","Boeing B-767-200ER",1
"1672","Ethiopian Airlines","Douglas C-47-DL",1
"1673","Ethiopian Airlines","Douglas DC-3",8
"1674","Ethiopian Airlines","Lockheed L-100-30 Hercules",1
"1675","Eurasia","Junkers W-34",1
"1676","Eureka Aero Inc. - Air Taxi","Cessna 337C",1
"1677","Euro Asia Aviation","Ilyushin II-76TD",1
"1678","Euroair","Embraer 110P1 Bandeirante",1
"1679","Eurojet Italila","Gates Learjet 45",1
"1680","Europe Aero Service EAS","Fairchild FH-227B",1
"1681","Everest Air","Dornier Do-228-101",1
"1682","Evergreen Alaska Helicopters, Inc.","Eurocopter Deutschland BK117C1",1
"1683","Evergreen Helicopter - Air Taxi","Bell 205A",1
"1684","Evergreen Helicopter - Air Taxi","de Havilland DHC-6",1
"1685","Evergreen International Airlines","McDonnell Douglas DC-9-33RC",1
"1686","Evolga","British Aerospace BAe-125-700A",1
"1687","EXA Inc.","Beechcraft C-45H",1
"1688","Executive Air - Air Taxi","Beechcraft 95-55B",1
"1689","Executive Air - Air Taxi","Robertson 414",1
"1690","Executive Airlines","BAe Jetstream 3101-31",1
"1691","Executive Funds","Douglas DC-3",1
"1692","Executive Jet Sales Inc.","Gates Learjet 23",1
"1693","Exportada De Sal S.A.","Douglas DC-3",1
